Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	3.4557343	2.149375	9.856712	0.09240193	0.10239764	0.83492804	2.1882923	-1.1737356	69.0	149.58301	708.0	0.0	0.0	0.0	0.0	0.0	783.28204	1000.0	0.17948718	0.1	16474.0	0.045761111111111114	330001.0	77.24557	24.796162	130.81741	-170.94354	77.24703	24.78436	130.32031	-163.9733	0.80299103	3.29151	36.787113	-21.961456	-0.94067496	1.0138677	14.990162	-11.439378	-56.859665	2.8716996	3.007762	0.0937965	2.940675	0.0	1.0	-0.03622851	3.0988705	23.1637	0.94067484	8.0725765	105.16282	1149.8550300598145
12	2.3163576	1.7819275	6.620207	0.09648579	-0.72366023	1.0856816	0.060103588	-3.2567523	40.866665	116.11979	608.0	0.0	90.2	270.6	902.0	0.0	661.13336	1000.0	0.11111111	0.1	18313.0	0.04695641025641026	360001.0	62.723717	34.5146	127.87721	-220.35664	62.724037	34.507774	128.37807	-219.93848	0.7898719	4.164067	52.444363	-23.82625	-0.8311756	1.1379697	15.28992	-10.122899	-37.625362	4.169984	4.4010067	0.12870827	2.8311758	0.0	1.0	0.16949423	3.164897	27.069164	0.8311758	8.072156	107.32327	1257.1785056591034
13	2.8493297	1.4781032	6.360534	0.061243866	0.33520052	0.53459066	1.3253968	-0.50435585	49.27027	123.513794	564.0	0.0	10.7	21.457169	57.0	0.0	817.37836	1000.0	0.08108108	0.1	20136.0	0.04794285714285714	390001.0	65.74627	29.277916	124.58504	-205.51079	65.745804	29.276623	124.52338	-203.28241	0.79737085	4.2859354	51.10672	-19.506584	-0.9052842	1.0566204	13.719804	-9.327931	-45.924324	3.193938	3.318125	0.14227514	2.9052844	0.0	1.0	0.048970435	2.6993723	19.623898	0.90528417	8.034398	104.62499	1361.8029799461365
14	2.7567174	1.3056542	5.6849904	0.2437233	0.11696322	1.0293227	2.2360249	-1.3026357	36.694443	67.00905	283.0	0.0	82.7	248.10002	827.0	0.0	820.5278	1000.0	0.19444445	0.1	21457.0	0.04768222222222222	420001.0	69.264244	24.50493	122.783424	-216.12721	69.26452	24.498705	122.63536	-211.84662	0.8048391	4.4300385	48.426468	-20.786201	-1.0118184	0.9172622	9.310213	-8.376722	-52.45519	2.5317626	2.6565356	0.15193874	3.0118182	0.0	1.0	-0.015004774	2.5117538	15.072749	1.011818	8.134254	104.1373	1465.938925743103
15	3.3792164	2.1356928	8.829867	0.6538308	-0.3350175	0.7565628	0.8451482	-1.5571364	6.4864864	19.54153	84.0	0.0	103.1	285.12085	957.0	0.0	807.32434	1000.0	0.27027026	0.1	21697.0	0.04520208333333333	450001.0	80.71955	22.633146	128.24237	-200.94887	80.719925	22.627203	128.26396	-199.62349	0.7958303	4.255429	68.28261	-22.377459	-1.0878378	0.7950662	8.75248	-8.991149	-65.75343	2.6018722	2.7250743	0.14015979	3.087838	0.0	1.0	0.046308443	2.532072	13.390159	1.0878378	8.147565	104.551575	1570.4894156455994
16	3.1379504	1.5531068	8.5040245	0.09483081	-0.37066275	0.7358509	0.49603638	-2.1745098	54.0	147.59894	776.0	0.0	84.7	238.65123	800.0	0.0	844.0278	1000.0	0.22222222	0.0	23641.0	0.04635490196078432	480001.0	89.28207	20.68097	131.0622	-182.99829	89.282524	20.674423	131.04079	-188.19637	0.80500066	4.432108	67.84141	-24.492237	-1.1251105	0.7428255	11.493362	-8.637026	-76.60881	2.5114617	2.5996032	0.14647287	3.1251104	0.0	1.0	-0.1062021	1.7911228	9.685129	1.1251106	8.112971	103.91853	1674.4101383686066
17	2.7607002	1.3261042	6.2824645	0.37243405	-0.3459201	0.24404761	0.10677934	-0.7876181	31.486486	98.74362	558.0	0.0	81.3	243.90001	813.0	0.0	811.5946	1000.0	0.10810811	0.0	24806.0	0.04593703703703704	510001.0	88.76884	20.966599	129.70856	-158.76329	88.7691	20.962917	128.9765	-167.26974	0.7911949	4.3201804	52.737812	-26.077675	-1.0916678	0.80094707	8.815308	-9.12782	-75.0471	2.6043956	2.6673985	0.14630526	3.0916677	0.0	1.0	0.1693482	2.198485	11.831583	1.0916678	8.057954	104.188286	1778.5992448329926
18	3.3536794	1.2571796	6.8191233	0.39882344	-0.14215365	0.5239007	0.7529556	-0.8906795	42.21875	82.18718	353.0	0.0	95.2	262.70435	882.0	0.0	928.03125	1000.0	0.09375	0.0	26165.0	0.04590350877192982	540001.0	89.92224	20.434877	129.94342	-91.427765	89.92286	20.428085	129.5932	-84.81679	0.8005892	4.1216516	49.306095	-27.028301	-1.106668	0.7865187	8.923329	-8.193793	-75.84881	2.4660125	2.5436802	0.13235512	3.106668	0.0	1.0	0.009521795	2.4465234	12.7410965	1.106668	8.146011	103.072464	1881.6735260486603
19	2.534126	1.5377811	6.576738	0.017566696	-3.903951	6.146471	0.84277505	-16.188656	48.63158	112.008316	526.0	0.0	174.4	349.4327	919.0	0.0	794.8421	1000.0	0.10526316	0.2	28005.0	0.046675	570001.0	82.43236	22.102676	125.75167	-106.7359	82.43275	22.096027	126.12097	-106.54839	0.7976927	3.908504	55.287434	-23.6915	-1.0488249	0.8642483	12.453254	-8.232596	-65.669655	2.5134776	2.6252115	0.119283445	3.048825	0.0	1.0	0.048961233	2.7953687	16.847563	1.0488248	8.0715885	105.24816	1986.9234166145325
20	2.3131676	1.471668	5.9207172	0.041643687	-0.60107815	2.2282703	1.6858767	-7.0092616	61.645832	152.20976	865.0	0.0	0.7	2.1000001	7.0	0.0	615.4375	1000.0	0.104166664	0.2	30964.0	0.04914920634920635	600001.0	69.74835	23.896683	117.7768	-148.97176	69.746544	23.898306	116.722755	-149.2112	0.8032683	3.6917996	71.398964	-16.710846	-0.9203921	1.0079759	12.46311	-9.531065	-47.950073	2.6517265	2.751833	0.119729996	2.920392	0.0	1.0	-0.034882486	3.1094518	23.804598	0.92039204	8.111654	108.59651	2095.5142266750336
