Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/EpBudget
301.746826171875,519.042724609375,1001.0,0.0,1.4164564609527588,0.0077134850434958935,40.0,0.9990983009338379,0.9990983009338379,0.9990983009338379,0.010037040337920189,0.0002969999914057553,0.9975244402885437,20000.0,-0.0014740652404725552,-0.0014740652404725552,-0.08079524338245392,5.409488677978516,5.409488677978516,-0.12892240285873413,60.59468078613281,14.496500015258789,46.09758377075195,60.594139099121094,330.06494140625,-9623.4267578125
292.59356689453125,529.1422729492188,1001.0,1.0,1.3904274702072144,0.003970267716795206,40.0,1.0001059770584106,1.0001059770584106,1.0001059770584106,0.009685315191745758,0.00029399999766610563,0.9719120264053345,40000.0,-0.0030799356754869223,-0.001605870435014367,0.18594703078269958,4.843907833099365,-0.5655808448791504,-14.721261024475098,131.01730346679688,13.960351943969727,56.43160629272461,70.39200592041016,284.1231994628906,-9787.8701171875
282.1277770996094,545.5958251953125,1001.0,2.0,1.3580530881881714,0.002288548508659005,40.0,0.9998663663864136,0.9998663663864136,0.9998663663864136,0.008904331363737583,0.000291000003926456,0.9409595131874084,60000.0,-0.001824204227887094,0.0012557314475998282,-0.1516706794500351,7.383983612060547,2.5400757789611816,-26.886394500732422,201.175537109375,14.420616149902344,55.71734619140625,70.13801574707031,285.1520690917969,-9837.01953125
264.86920166015625,569.6868896484375,1001.0,3.0,1.32882821559906,0.003224421991035342,40.0,0.9994614124298096,0.9994614124298096,0.9994614124298096,0.009940863586962223,0.0002880000101868063,0.913851261138916,80000.0,-0.003433072241023183,-0.0016088680131360888,-0.039477258920669556,5.248614311218262,-2.135369300842285,-36.44266128540039,282.5857849121094,14.891371726989746,66.48869323730469,81.38014221191406,245.7602081298828,-10377.216796875
266.4940490722656,573.7023315429688,1001.0,4.0,1.2990375757217407,0.0040033357217907906,40.0,0.9996252655982971,0.9996252655982971,0.9996252655982971,0.009729829616844654,0.0002849999873433262,0.8870266079902649,100000.0,-0.0037238227669149637,-0.00029075052589178085,0.030762553215026855,6.549867630004883,1.301253318786621,-44.95684051513672,366.52520751953125,15.477986335754395,68.418212890625,83.89624786376953,238.3896942138672,-9233.9287109375
280.37835693359375,559.1815795898438,1001.0,5.0,1.2971713542938232,0.005293838679790497,40.0,0.998094379901886,0.998094379901886,0.998094379901886,0.010965902358293533,0.00028199999360367656,0.8853572010993958,120000.0,-0.003220419865101576,0.0005034029018133879,-0.26018038392066956,8.938689231872559,2.388821601867676,-51.325645446777344,434.280517578125,14.12307071685791,53.61061096191406,67.73372650146484,295.27386474609375,-8669.0546875
294.0726623535156,540.655029296875,1001.0,6.0,1.2711446285247803,0.004110983572900295,40.0,1.0000150203704834,1.0000150203704834,1.0000150203704834,0.01064571738243103,0.0002789999998640269,0.8626241087913513,140000.0,-0.0038746269419789314,-0.0006542070768773556,-0.22691887617111206,6.49540376663208,-2.4432854652404785,-56.38252639770508,507.6298828125,14.846199035644531,58.480926513671875,73.32717895507812,272.75018310546875,-7931.78271484375
302.048095703125,524.935302734375,1001.0,7.0,1.2387508153915405,0.0038173478096723557,40.0,0.9985900521278381,0.9985900521278381,0.9985900521278381,0.010288304649293423,0.00027600000612437725,0.8351262211799622,160000.0,-0.0027829823084175587,0.0010916446335613728,0.046640925109386444,6.652801036834717,0.15739727020263672,-60.004005432128906,572.8680419921875,14.631471633911133,50.58268737792969,65.21420288085938,306.6816711425781,-7603.90966796875
298.0404052734375,533.3340454101562,1001.0,8.0,1.2174855470657349,0.00399097939953208,40.0,0.9984909296035767,0.9984909296035767,0.9984909296035767,0.010190220549702644,0.0002730000123847276,0.8175486922264099,180000.0,-0.0029890367295593023,-0.00020605442114174366,0.17645590007305145,5.540358066558838,-1.112442970275879,-62.93207550048828,656.3583374023438,15.367843627929688,68.10234069824219,83.47024536132812,239.60633850097656,-7827.1875
295.8674011230469,547.2503662109375,1001.0,9.0,1.2092214822769165,0.0047553060576319695,40.0,0.9980552792549133,0.9980552792549133,0.9980552792549133,0.010324661619961262,0.0002699999895412475,0.8108172416687012,200000.0,-0.0034259287640452385,-0.00043689203448593616,0.194138765335083,5.364322185516357,-0.17603588104248047,-64.96710205078125,730.9866333007812,15.071861267089844,59.509578704833984,74.58148956298828,268.1630554199219,-8186.33056640625
