,accelerometer0,accelerometer1,accelerometer2,velocimeter0,velocimeter1,velocimeter2,gyro0,gyro1,gyro2,magnetometer0,magnetometer1,magnetometer2,goal_lidar0,goal_lidar1,goal_lidar2,goal_lidar3,goal_lidar4,goal_lidar5,goal_lidar6,goal_lidar7,goal_lidar8,goal_lidar9,goal_lidar10,goal_lidar11,goal_lidar12,goal_lidar13,goal_lidar14,goal_lidar15,hazards_lidar0,hazards_lidar1,hazards_lidar2,hazards_lidar3,hazards_lidar4,hazards_lidar5,hazards_lidar6,hazards_lidar7,hazards_lidar8,hazards_lidar9,hazards_lidar10,hazards_lidar11,hazards_lidar12,hazards_lidar13,hazards_lidar14,hazards_lidar15,vases_lidar0,vases_lidar1,vases_lidar2,vases_lidar3,vases_lidar4,vases_lidar5,vases_lidar6,vases_lidar7,vases_lidar8,vases_lidar9,vases_lidar10,vases_lidar11,vases_lidar12,vases_lidar13,vases_lidar14,vases_lidar15,action0,action1,exp_cost
count,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
mean,0.06900977190293804,-0.001532943948522696,9.810000000000002,0.023807821881936652,0.0018715719759984275,0.0,0.0,0.0,0.006034832678037803,-0.0005374696556788197,0.000886900003976986,0.0,0.05043498657833848,0.05091655964149845,0.05079026063653896,0.050463037497580715,0.050540654244093666,0.05124804143523578,0.05111180037973243,0.05045194076801393,0.05065981314025988,0.05081041903967268,0.050618475943075295,0.050369773167559154,0.050592642740491,0.051282589444561336,0.05160226225009237,0.05080853491850004,0.2597678559064193,0.2599433935609878,0.26079898575556437,0.2621852224410324,0.26060288173616697,0.25972929311559595,0.25837655041458046,0.2558963656698326,0.25628979768525184,0.25873137830748044,0.25968048666283217,0.26102293097887164,0.2615649850165247,0.2608894295195702,0.25921456289629025,0.2591050271282147,0.05337789685551704,0.05308844743752642,0.05291987206658912,0.05302234211123158,0.05268899044234391,0.05199572822654057,0.051739528340214294,0.05226048991322814,0.053000838699754686,0.053299417635655544,0.053256104487836166,0.053404489542822814,0.05308706758198068,0.052577165213020326,0.05317107830511702,0.05359329669932748,0.00035552715763333256,0.0032480204987246544,9.91632
std,1.926543231838538,6.733667613001864,1.5005401915066069e-15,0.7184276080173833,0.5774444455807707,0.0,0.0,0.0,2.3741694929588113,0.35274654598616517,0.3543604081212064,0.0,0.14252148965710046,0.14383671279587612,0.14386782157983347,0.1435559060516235,0.14326532008677806,0.14455606582143535,0.1442794719579417,0.14316227229098402,0.14379195313767576,0.14457285059907385,0.1433064082094891,0.143436163859161,0.1430157634637416,0.1444170334829594,0.1443091693791751,0.14344997208742502,0.29029618172692184,0.2900540299827931,0.29057277637224516,0.29161540461933183,0.29113617550026044,0.2910746104252416,0.29068028616675606,0.2890643840644212,0.2897202924926418,0.2908932392872447,0.29072665703023093,0.291321388546754,0.2913886285833208,0.29053249045795776,0.2898528769756829,0.2900862215673861,0.1521599261417567,0.15141171974783066,0.1508278978591144,0.15107500087129982,0.15048326267258583,0.1501505766505639,0.1495703294975754,0.15048115545130555,0.1513028199525188,0.15202584965981317,0.15175702073971414,0.15184786375591378,0.1510658098145621,0.15014204150790417,0.15159156362778498,0.15301697304926534,1.0727052812704923,1.1153997705206626,19.740232886811246
min,-5.452849416546546,-19.9890025600224,9.809999999999999,-1.4997784205754439,-1.0812510966614317,0.0,0.0,0.0,-3.03825859203659,-0.49999999999766126,-0.49999999993408095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.609840393066406,-4.453976631164551,0.0
25%,-1.8795474196356121,-1.4752061450028142,9.81,-0.4531800940859936,-0.6390348407372964,0.0,0.0,0.0,-2.8153588996153815,-0.3519504011850568,-0.35334583327930846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6860576272010803,-0.9026440680027008,0.0
50%,0.023382096130050954,-0.015323612285054328,9.81,0.020275830428218768,0.0026030804464211577,0.0,0.0,0.0,0.020453817724555796,-0.0019022484389600682,0.0014728943261255872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12406966106281034,0.12676024635190447,0.12772220640555798,0.13070525331579505,0.12547747366054615,0.11972405128904012,0.11479480770879397,0.1107809008406073,0.111830515302515,0.11450936411130178,0.11973691337244638,0.12675842852918207,0.12803256689145803,0.13070885777661895,0.12173034900873345,0.12382170315908259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006072328658774495,0.0031013907864689827,0.0
75%,2.059705938615135,1.4692486010465082,9.810000000000002,0.5048578486055053,0.6390365052473136,0.0,0.0,0.0,2.8080831583387065,0.35227334375827224,0.3563938485122583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515857413583126,0.517266952230748,0.5181440625874358,0.521867005802302,0.5202679056120446,0.5184260326937996,0.516896936025238,0.5106240204981574,0.5110037779722887,0.5173605159675458,0.5191848645046019,0.5190258529287333,0.520775678064076,0.5196966162564735,0.5167616396302176,0.5152393587001477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6805454343557358,0.9024306237697601,15.0
max,5.35121128786252,19.983345146638044,9.810000000000004,1.4997728240868766,1.053874099610208,0.0,0.0,0.0,3.0394396231991747,0.4999999997979033,0.4999999999900971,0.0,0.8982835596931471,0.8973909637692797,0.8978613817613287,0.8990431797622108,0.8977073958745173,0.899035020907598,0.8963663024267005,0.8992606887165238,0.8959419619919634,0.8998482177102675,0.8982108983589354,0.8989621507665874,0.8994999153362527,0.8997433832892939,0.898437868968593,0.8989580447680682,0.9995676844801512,0.9987952356059296,0.9979952903545275,0.9960028521443826,0.9979393515451219,0.9978594214850184,0.9946303647582604,0.995727920741619,0.9975208381001233,0.997847576029427,0.9985532928338205,0.995752606822419,0.9956070290224015,0.9962437341957447,0.9981759455317074,0.9979022891917042,0.9161791868759842,0.9235316670439299,0.9324832525480397,0.9346510067225419,0.9334611156968874,0.9339567339481301,0.9342470376256403,0.9336273426300613,0.9344832281058407,0.933722050372849,0.9335312369162637,0.9336375873100936,0.9333934076265263,0.9324649770303587,0.9226926891475293,0.9170743849069772,7.266669273376465,4.720612049102783,200.0
