Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS
-0.2989378869533539,94.8499984741211,1000.0,0.0,1.4117591381072998,0.012046340852975845,40.0,1.001038670539856,1.001038670539856,1.001038670539856,0.01853361539542675,0.0002969999914057553,0.9928522109985352,20000.0,-0.014223774895071983,-0.014223774895071983,-0.11587561666965485,0.004869544878602028,0.004869544878602028,-0.004340420942753553,192.14500427246094,101.71343231201172,90.43136596679688,192.1448211669922,104.0881576538086
-0.20235534012317657,151.9250030517578,1000.0,1.0,1.3960468769073486,0.020734265446662903,36.0,0.9980352520942688,0.9980352520942688,0.9980352520942688,0.021133100613951683,0.00029399999766610563,0.9773794412612915,40000.0,-0.021311888471245766,-0.007088113576173782,0.19186365604400635,0.003286090912297368,-0.0015834539663046598,0.009310894645750523,381.7696228027344,103.31258392333984,86.29098510742188,189.6035919189453,105.48323822021484
0.10007330775260925,140.0800018310547,1000.0,2.0,1.378407597541809,0.020040251314640045,17.0,0.999496579170227,0.999496579170227,0.999496579170227,0.02134932391345501,0.000291000003926456,0.9602876305580139,60000.0,-0.017708009108901024,0.003603879362344742,-0.27074044942855835,0.0034868812654167414,0.00020079035311937332,0.02021615207195282,524.9300537109375,103.88680267333984,39.25385665893555,143.14068603515625,139.72267150878906
1.3751617670059204,128.66000366210938,1000.0,3.0,1.3572165966033936,0.023574767634272575,38.0,0.996569812297821,0.996569812297821,0.996569812297821,0.021380243822932243,0.0002880000101868063,0.940218448638916,80000.0,-0.017425915226340294,0.00028209388256073,-0.23430129885673523,0.010027606040239334,0.006540724774822593,0.0640832856297493,718.57568359375,103.51573181152344,90.11454772949219,193.63031005859375,103.28961944580078
2.9179019927978516,92.37999725341797,1000.0,4.0,1.3253278732299805,0.020392535254359245,27.0,0.9990810751914978,0.9990810751914978,0.9990810751914978,0.02042906917631626,0.0002849999873433262,0.9106621742248535,100000.0,-0.018576115369796753,-0.001150200143456459,0.09628866612911224,0.01189974695444107,0.0018721409142017365,0.12035302817821503,881.6871948242188,102.88240814208984,60.20828628540039,163.09072875976562,122.63113403320312
4.888942241668701,68.26000213623047,1000.0,5.0,1.2866171598434448,0.02031366527080536,17.0,0.9990949034690857,0.9990949034690857,0.9990949034690857,0.01984473131597042,0.00028199999360367656,0.8760876059532166,120000.0,-0.017809774726629257,0.0007663406431674957,0.313789039850235,0.015840455889701843,0.003940708935260773,0.2018553763628006,1024.104248046875,103.35126495361328,39.03652572631836,142.3878173828125,140.46145629882812
6.796135425567627,52.779998779296875,1000.0,6.0,1.2569565773010254,0.020171158015727997,19.0,0.9985266923904419,0.9985266923904419,0.9985266923904419,0.01985454373061657,0.0002789999998640269,0.8504732847213745,140000.0,-0.01969103328883648,-0.001881258562207222,-0.24779044091701508,0.014119806699454784,-0.0017206491902470589,0.2844051122665405,1170.8486328125,103.32360076904297,43.4027099609375,146.72634887695312,136.30816650390625
7.895227432250977,56.58000183105469,1000.0,7.0,1.2275398969650269,0.020044034346938133,22.0,1.0007859468460083,1.0007859468460083,1.0007859468460083,0.02067861147224903,0.00027600000612437725,0.8258235454559326,160000.0,-0.02074744552373886,-0.001056412234902382,-0.16407734155654907,0.013684053905308247,-0.0004357527941465378,0.363465815782547,1325.4400634765625,101.25267028808594,53.322486877441406,154.57518005371094,129.38687133789062
9.508748054504395,64.08000183105469,1000.0,8.0,1.2034419775009155,0.020855911076068878,13.0,0.9984712600708008,0.9984712600708008,0.9984712600708008,0.019824862480163574,0.0002730000123847276,0.8061710596084595,180000.0,-0.01883716508746147,0.0019102804362773895,-0.13328763842582703,0.015622579492628574,0.0019385255873203278,0.4726639688014984,1454.5963134765625,101.88117218017578,27.259279251098633,129.14047241210938,154.8701171875
10.740312576293945,78.83999633789062,1000.0,9.0,1.1781384944915771,0.020059624686837196,16.0,0.9972476363182068,0.9972476363182068,0.9972476363182068,0.020328599959611893,0.0002699999895412475,0.7861286401748657,200000.0,-0.021432355046272278,-0.0025951899588108063,-0.42110300064086914,0.01640869863331318,0.0007861191406846046,0.5213370323181152,1593.5457763671875,101.68000793457031,37.254234313964844,138.93426513671875,143.9529571533203
12.00721549987793,76.23999786376953,1000.0,10.0,1.1474007368087769,0.02007260173559189,16.0,1.0015389919281006,1.001538872718811,1.001538872718811,0.02087343856692314,0.00026699999580159783,0.7624207735061646,220000.0,-0.020521944388747215,0.0009104106575250626,-0.43738922476768494,0.016673345118761063,0.0002646464854478836,0.7072322368621826,1732.5545654296875,101.78473663330078,37.2085075378418,138.99327087402344,143.89186096191406
13.25463581085205,77.9800033569336,1000.0,11.0,1.113638162612915,0.021187184378504753,18.0,0.9977281093597412,0.9977281093597412,0.9977281093597412,0.020776819437742233,0.0002640000020619482,0.7371180057525635,240000.0,-0.022143032401800156,-0.0016210880130529404,-0.23154190182685852,0.019837195053696632,0.0031638499349355698,0.8002258539199829,1876.0528564453125,102.19666290283203,41.28533172607422,143.48202514648438,139.39028930664062
